"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Inc. emp.",0.3,"1 m75-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11738,453,13789,1412,12377
"Inc. emp.",0.4,"1 m76-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5964,233,7290,709,6581
"Inc. emp.",0.5,"1 m77-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3583,142,3997,413,3584
"Inc. sim.",0,"1 m78-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",51453,2180,0,0,0
"Inc. sim.",0.1,"1 m79-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",35261,1454,10548,1239,9309
"Age+HH",0.2,"1 m8-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10210,438,9831,927,8904
"Inc. sim.",0.2,"1 m80-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",10958,456,8293,801,7492
"Inc. sim.",0.3,"1 m81-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",6140,268,8286,831,7455
"Inc. sim.",0.4,"1 m82-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4558,192,5934,603,5331
"Inc. sim.",0.5,"1 m83-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3594,154,3922,422,3500
"Random",0,"1 m84-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",54408,1973,0,0,0
"Random",0.1,"1 m85-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",30466,1160,14547,1577,12970
"Random",0.2,"1 m86-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",15954,678,14756,1588,13168
"Random",0.3,"1 m87-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11858,434,14292,1537,12755
"Random",0.4,"1 m88-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7755,290,10234,1117,9117
"Random",0.5,"1 m89-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6170,281,9180,1010,8170
"Age+HH",0.3,"1 m9-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5953,282,6882,662,6220
"Age+HH",0,"1 m90-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48044,1863,0,0,0
"Age+HH",0.1,"1 m91-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",21458,844,10263,958,9305
"Age+HH",0.2,"1 m92-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",9212,415,8564,803,7761
"Age+HH",0.3,"1 m93-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5153,216,5625,563,5062
"Age+HH",0.4,"1 m94-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4646,217,5440,540,4900
"Age+HH",0.5,"1 m95-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3388,147,3492,363,3129
"Old",0,"1 m96-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48730,1925,0,0,0
"Old",0.1,"1 m97-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",40478,1531,4909,825,4084
"Old",0.2,"1 m98-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",44941,1688,12661,1967,10694
"Old",0.3,"1 m99-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",21061,746,13334,1781,11553
"Random",0,"2 m0-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50017,1876,0,0,0
"Random",0.1,"2 m1-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",29963,1169,14577,1606,12971
"Age+HH",0.4,"2 m10-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",3784,153,3945,409,3536
"Old",0.4,"2 m100-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",12193,419,12487,1524,10963
"Old",0.5,"2 m101-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",7087,292,9100,1054,8046
"Young",0,"2 m102-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",45913,1792,0,0,0
"Young",0.1,"2 m103-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",45372,1805,9796,1107,8689
"Young",0.2,"2 m104-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",25168,983,16119,1611,14508
"Young",0.3,"2 m105-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12012,515,12677,1319,11358
"Young",0.4,"2 m106-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7597,285,10137,1056,9081
"Young",0.5,"2 m107-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5328,220,7187,735,6452
"HH",0,"2 m108-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",42971,1680,0,0,0
"HH",0.1,"2 m109-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",24801,1033,7596,675,6921
"Age+HH",0.5,"2 m11-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3465,145,4053,423,3630
"HH",0.2,"2 m110-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",17371,748,10177,965,9212
"HH",0.3,"2 m111-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",7123,311,6323,583,5740
"HH",0.4,"2 m112-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7079,323,7825,770,7055
"HH",0.5,"2 m113-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3661,139,3824,371,3453
"Inc. emp.",0,"2 m114-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",45985,1879,0,0,0
"Inc. emp.",0.1,"2 m115-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",29260,1165,11638,1159,10479
"Inc. emp.",0.2,"2 m116-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",11383,427,11833,1129,10704
"Inc. emp.",0.3,"2 m117-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",11749,459,13527,1382,12145
"Inc. emp.",0.4,"2 m118-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5959,257,7404,745,6659
