"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Young",0.2,"m541-young-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,5175,198,2788,380,2408
"Random",0.2,"m55-random-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,3595,137,2612,373,2239
"Young",0.3,"m568-young-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,3071,124,2636,348,2288
"Young",0.4,"m595-young-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2468,90,2789,378,2411
"Young",0.5,"m622-young-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1415,68,1946,257,1689
"Age",0,"m649-age-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,9844,363,0,0,0
"Age",0.1,"m676-age-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,6374,264,1514,236,1278
"Age",0.2,"m703-age-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1853,65,1047,141,906
"Age",0.3,"m730-age-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,978,42,1013,136,877
"Age",0.4,"m757-age-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1220,46,1317,179,1138
"Age",0.5,"m784-age-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,778,39,735,104,631
"HH",0,"m811-household_size-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,10192,426,0,0,0
"Random",0.3,"m82-random-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,3053,98,2947,427,2520
"HH",0.1,"m838-household_size-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,5644,221,1566,182,1384
"HH",0.2,"m865-household_size-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,3663,163,1810,229,1581
"HH",0.3,"m892-household_size-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2203,101,1822,224,1598
"HH",0.4,"m919-household_size-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1539,73,1526,191,1335
"HH",0.5,"m946-household_size-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,986,41,1139,142,997
"Inc. emp.",0,"m973-inc_rank_emp-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,10912,436,0,0,0
"Inc. emp.",0.1,"m1001-inc_rank_emp-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,12239,480,4282,558,3724
"Inc. emp.",0.2,"m1028-inc_rank_emp-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,6748,264,6140,756,5384
"Inc. emp.",0.3,"m1055-inc_rank_emp-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,3974,163,4063,534,3529
"Inc. emp.",0.4,"m1082-inc_rank_emp-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2478,92,3002,395,2607
"Random",0.4,"m110-random-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,3683,136,4501,647,3854
"Inc. emp.",0.5,"m1109-inc_rank_emp-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1061,37,1185,161,1024
"Inc. sim.",0,"m1136-inc_rank_sim-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,21265,901,0,0,0
